sampleNumber,distToGoal,minDistToGoal,worstCost,temp,maxTemp
1,inf,10000,0,0.1,10000
2,inf,10000,0.0333693,0.0666667,10000
3,inf,10000,0.0333693,0.0666667,10000
4,inf,10000,0.0333693,0.0666667,10000
5,inf,10000,0.0333693,0.0666667,10000
6,inf,10000,0.0333693,0.0666667,10000
7,inf,10000,0.0333693,0.0666667,10000
8,inf,10000,0.0333693,0.0666667,10000
9,inf,10000,0.0333693,0.0666667,10000
10,inf,5.87193,0.0333693,0.0666667,10000
11,5.83008,5.87193,0.0333693,0.0666667,10000
12,5.83008,5.87193,0.0333693,0.0666667,10000
13,5.83008,5.63743,0.0333693,0.0666667,10000
14,5.83008,5.63743,0.0333693,0.0444444,10000
15,5.83008,5.57455,0.0333693,0.0444444,10000
16,5.83008,5.57455,0.0333693,0.0296296,10000
17,5.83008,5.57455,0.0333693,0.0296296,10000
18,5.83008,5.21964,0.0333693,0.0197531,10000
19,5.83008,4.71964,0.0333693,0.0131687,10000
20,5.83008,4.37818,0.0333693,0.00877915,10000
21,5.47814,4.37818,0.0333693,0.00877915,10000
22,5.47814,4.37818,0.0333693,0.00585277,10000
23,5.47814,3.87818,0.0333693,0.00585277,10000
24,5.47814,3.87818,0.0333693,0.00390184,10000
25,5.47814,3.87818,0.0333693,0.00390184,10000
26,3.78626,3.87818,0.0333693,0.00390184,10000
27,4.69832,3.87818,0.0333693,0.00390184,10000
28,4.72039,3.87818,0.0333693,0.00390184,10000
29,4.72039,3.87818,0.0333693,0.00390184,10000
30,4.72039,3.59388,0.0333693,0.00390184,10000
31,4.72039,3.51055,0.0333693,0.00390184,10000
32,4.72039,3.23901,0.0333693,0.00390184,10000
33,4.72039,3.23901,0.0333693,0.00390184,10000
34,4.5404,3.23901,0.0333693,0.00390184,10000
35,4.5404,3.23901,0.0333693,0.00390184,10000
36,5.49029,3.23901,0.0333693,0.00390184,10000
37,5.49029,3.23901,0.0333693,0.00390184,10000
