sampleNumber,distToGoal,minDistToGoal,worstCost,temp,maxTemp
1,0,10000,0.0264379,0.1,0.1
2,0,6.43747,0.0264379,0.1,0.1
3,0,6.35068,0.0264379,0.1,0.1
4,0,6.16473,0.0264379,0.1,0.1
5,0,6.16473,0.0264379,0.1,0.1
6,0,6.16473,0.031308,0.1,0.1
7,0,6.16473,0.031308,0.1,0.1
8,0,6.04656,0.0357212,0.1,0.1
9,0,6.04656,0.0357212,0.1,0.1
10,0,6.04656,0.0357212,0.1,0.1
11,0,6.04656,0.0357212,0.1,0.1
12,0,6.01876,0.0742731,0.1,0.1
13,0,5.76805,0.0742731,0.1,0.1
14,0,5.76805,0.0742731,0.1,0.1
15,0,5.76805,0.0742731,0.1,0.1
16,0,5.26805,0.0742731,0.1,0.1
17,0,5.26805,0.0742731,0.1,0.1
18,0,5.26805,0.0742731,0.1,0.1
19,0,5.26805,0.0742731,0.1,0.1
20,0,5.26805,0.0742731,0.1,0.1
21,0,5.26805,0.0742731,0.1,0.1
22,0,5.26805,0.0742731,0.1,0.1
23,0,5.26805,0.0742731,0.1,0.1
24,0,5.26805,0.0742731,0.1,0.1
25,0,5.26805,0.0742731,0.1,0.1
26,0,5.26805,0.0742731,0.1,0.1
27,0,5.26805,0.0742731,0.1,0.1
28,0,5.26805,0.0742731,0.1,0.1
29,0,5.07404,0.0742731,0.1,0.1
30,0,5.07404,0.0742731,0.1,0.1
31,0,5.07404,0.0742731,0.1,0.1
32,0,5.008,0.0742731,0.1,0.1
33,0,5.008,0.0742731,0.1,0.1
34,0,5.008,0.0742731,0.1,0.1
35,0,5.008,0.0742731,0.1,0.1
36,0,5.008,0.0742731,0.1,0.1
37,0,5.008,0.0742731,0.1,0.1
38,0,5.008,0.0742731,0.1,0.1
39,0,5.008,0.0742731,0.1,0.1
40,0,5.008,0.0742731,0.1,0.1
41,0,5.008,0.086938,0.1,0.1
42,0,5.008,0.086938,0.1,0.1
43,0,4.508,0.086938,0.1,0.1
44,0,4.508,0.086938,0.1,0.1
45,0,4.508,0.086938,0.1,0.1
46,0,4.508,0.086938,0.1,0.1
47,0,4.508,0.086938,0.1,0.1
48,0,4.508,0.086938,0.1,0.1
49,0,4.508,0.086938,0.1,0.1
50,0,4.008,0.086938,0.1,0.1
51,0,4.008,0.086938,0.1,0.1
52,0,4.008,0.086938,0.1,0.1
53,5.96746,4.008,0.086938,0.1,0.1
54,5.96746,4.008,0.086938,0.1,0.1
55,6.9237,4.008,0.086938,0.1,0.1
56,6.9237,4.008,0.086938,0.1,0.1
57,5.59775,4.008,0.086938,0.1,0.1
58,5.92344,4.008,0.086938,0.1,0.1
59,5.92344,3.64414,0.086938,0.1,0.1
60,5.92344,3.64414,0.086938,0.1,0.1
61,5.92344,3.64414,0.086938,0.1,0.1
62,5.92344,3.64414,0.086938,0.1,0.1
63,5.92344,3.14414,0.086938,0.1,0.1
64,5.92344,3.14414,0.086938,0.1,0.1
65,5.92344,3.14414,0.086938,0.1,0.1
66,6.6046,3.14414,0.086938,0.1,0.1
67,6.6046,3.14414,0.086938,0.1,0.1
68,6.6046,3.14414,0.086938,0.1,0.1
69,6.6046,3.14414,0.086938,0.1,0.1
70,6.6046,3.14414,0.086938,0.1,0.1
71,6.6046,3.14414,0.086938,0.1,0.1
72,6.6046,3.14414,0.086938,0.1,0.1
73,6.6046,3.14414,0.086938,0.1,0.1
74,6.6046,3.14414,0.086938,0.1,0.1
75,6.6046,2.64414,0.086938,0.1,0.1
76,6.6046,2.62309,0.086938,0.1,0.1
77,6.6046,2.62309,0.086938,0.1,0.1
78,6.56652,2.62309,0.086938,0.1,0.1
79,6.75846,2.62309,0.086938,0.1,0.1
80,6.75846,2.62309,0.086938,0.1,0.1
81,6.95722,2.62309,0.086938,0.1,0.1
82,6.95722,2.62309,0.086938,0.1,0.1
83,6.95722,2.62309,0.086938,0.1,0.1
84,6.95722,2.62309,0.086938,0.1,0.1
85,6.95722,2.62309,0.086938,0.1,0.1
86,6.95722,2.56437,0.086938,0.1,0.1
87,6.95722,2.06437,0.086938,0.1,0.1
88,6.02421,2.06437,0.086938,0.1,0.1
89,6.02421,2.06437,0.086938,0.1,0.1
90,6.02421,2.06437,0.086938,0.1,0.1
91,6.02421,2.06437,0.086938,0.1,0.1
92,6.02421,2.06437,0.086938,0.1,0.1
93,6.02421,2.06437,0.086938,0.1,0.1
94,6.02421,2.06437,0.086938,0.1,0.1
95,6.02421,2.06437,0.086938,0.1,0.1
96,6.02421,2.06437,0.086938,0.1,0.1
97,5.78577,2.06437,0.086938,0.1,0.1
98,5.78577,2.06437,0.086938,0.1,0.1
99,5.78577,2.06437,0.086938,0.1,0.1
100,6.21892,2.06437,0.086938,0.1,0.1
101,6.21892,2.06437,0.086938,0.1,0.1
102,7.13829,2.06437,0.086938,0.1,0.1
103,7.13829,2.06437,0.086938,0.1,0.1
104,7.13829,2.06437,0.086938,0.1,0.1
105,7.13829,1.56437,0.086938,0.1,0.1
106,7.13829,1.56437,0.086938,0.1,0.1
107,6.09326,1.56437,0.086938,0.1,0.1
108,6.88085,1.56437,0.086938,0.1,0.1
109,6.88085,1.56437,0.086938,0.1,0.1
110,6.88085,1.56437,0.086938,0.1,0.1
111,6.88085,1.56437,0.086938,0.1,0.1
112,6.88085,1.56437,0.086938,0.1,0.1
113,6.88085,1.56437,0.086938,0.1,0.1
114,6.88085,1.56437,0.086938,0.1,0.1
115,6.88085,1.56437,0.086938,0.1,0.1
116,6.88085,1.56437,0.086938,0.1,0.1
117,6.88085,1.56437,0.086938,0.1,0.1
118,6.80573,1.56437,0.086938,0.1,0.1
119,6.80573,1.56437,0.086938,0.1,0.1
120,6.80573,1.56437,0.086938,0.1,0.1
121,6.80573,1.56437,0.086938,0.1,0.1
122,6.80573,1.56437,0.086938,0.1,0.1
123,6.80573,1.56437,0.086938,0.1,0.1
124,6.80573,1.56437,0.086938,0.1,0.1
125,6.80573,1.56437,0.086938,0.1,0.1
126,6.80573,1.56437,0.086938,0.1,0.1
127,6.80573,1.56437,0.086938,0.1,0.1
128,6.80573,1.56437,0.086938,0.1,0.1
129,6.80573,1.56437,0.086938,0.1,0.1
130,6.80573,1.56437,0.086938,0.1,0.1
131,6.80573,1.56437,0.086938,0.1,0.1
132,6.80573,1.56437,0.086938,0.1,0.1
133,6.80573,1.06437,0.086938,0.1,0.1
134,6.80573,1.06437,0.086938,0.1,0.1
135,0.840466,1.06437,0.086938,0.1,0.1
136,0.840466,1.06437,0.086938,0.1,0.1
137,0.840466,1.06437,0.086938,0.1,0.1
138,0.840466,1.06437,0.086938,0.1,0.1
139,0.840466,1.06437,0.086938,0.1,0.1
140,0.840466,1.06437,0.086938,0.1,0.1
141,0.840466,1.06437,0.086938,0.1,0.1
142,0.840466,1.06437,0.086938,0.1,0.1
143,0.840466,1.06437,0.086938,0.1,0.1
144,0.840466,1.06437,0.086938,0.1,0.1
145,0.840466,1.06437,0.086938,0.1,0.1
146,0.840466,1.06437,0.086938,0.1,0.1
147,0.840466,1.06437,0.086938,0.1,0.1
148,0.840466,1.06437,0.086938,0.1,0.1
149,6.78675,1.06437,0.086938,0.1,0.1
150,6.78675,1.06437,0.086938,0.1,0.1
151,6.78675,1.06437,0.086938,0.1,0.1
152,6.78675,1.06437,0.086938,0.1,0.1
153,6.78675,1.06437,0.086938,0.1,0.1
154,6.78675,1.06437,0.086938,0.1,0.1
155,6.97746,1.06437,0.086938,0.1,0.1
156,6.97746,1.06437,0.086938,0.1,0.1
157,6.97746,1.06437,0.086938,0.1,0.1
158,6.97746,1.06437,0.086938,0.1,0.1
159,6.97746,1.06437,0.086938,0.1,0.1
160,6.73471,1.06437,0.086938,0.1,0.1
161,6.73471,1.06437,0.086938,0.1,0.1
162,6.73471,1.06437,0.086938,0.1,0.1
163,0.56437,1.06437,0.086938,0.1,0.1
164,0.56437,1.06437,0.086938,0.1,0.1
165,0.56437,1.06437,0.086938,0.1,0.1
166,0.56437,1.06437,0.086938,0.1,0.1
167,6.15408,1.06437,0.086938,0.1,0.1
168,6.64959,1.06437,0.086938,0.1,0.1
169,6.64959,1.06437,0.086938,0.1,0.1
170,6.64959,1.06437,0.086938,0.1,0.1
171,6.64959,1.06437,0.086938,0.1,0.1
172,6.64959,1.06437,0.086938,0.1,0.1
173,6.64959,1.06437,0.086938,0.1,0.1
174,6.64959,1.06437,0.086938,0.1,0.1
175,6.66724,1.06437,0.086938,0.1,0.1
176,1.26183,1.06437,0.086938,0.1,0.1
177,6.86321,1.06437,0.086938,0.1,0.1
178,6.86321,1.06437,0.086938,0.1,0.1
179,6.86321,1.06437,0.086938,0.1,0.1
180,6.86321,1.06437,0.086938,0.1,0.1
181,6.86321,1.06437,0.086938,0.1,0.1
182,0.56437,1.06437,0.086938,0.1,0.1
183,0.56437,1.06437,0.086938,0.1,0.1
184,0.56437,1.06437,0.086938,0.1,0.1
185,0.56437,1.06437,0.086938,0.1,0.1
186,0.56437,1.06437,0.086938,0.1,0.1
187,0.56437,1.06437,0.086938,0.1,0.1
188,0.56437,1.06437,0.086938,0.1,0.1
189,0.56437,1.06437,0.086938,0.1,0.1
190,0.56437,1.06437,0.086938,0.1,0.1
191,0.56437,1.06437,0.086938,0.1,0.1
192,0.56437,1.06437,0.086938,0.1,0.1
193,0.56437,1.06437,0.086938,0.1,0.1
194,0.56437,1.06437,0.086938,0.1,0.1
195,0.56437,1.06437,0.086938,0.1,0.1
196,0.56437,1.06437,0.086938,0.1,0.1
197,0.56437,1.06437,0.086938,0.1,0.1
198,0.56437,1.06437,0.086938,0.1,0.1
199,0.56437,1.06437,0.086938,0.1,0.1
200,0.56437,1.06437,0.086938,0.1,0.1
201,0.56437,1.06437,0.086938,0.1,0.1
202,0.56437,1.06437,0.086938,0.1,0.1
203,0.56437,1.06437,0.086938,0.1,0.1
204,0.56437,1.06437,0.086938,0.1,0.1
205,6.76506,1.06437,0.086938,0.1,0.1
206,6.76506,1.06437,0.086938,0.1,0.1
207,6.76506,1.06437,0.086938,0.1,0.1
208,6.76506,1.06437,0.086938,0.1,0.1
209,6.76506,1.06437,0.086938,0.1,0.1
210,6.76506,1.06437,0.086938,0.1,0.1
211,6.76506,1.06437,0.086938,0.1,0.1
212,6.76506,1.06437,0.086938,0.1,0.1
213,6.76506,1.06437,0.086938,0.1,0.1
214,6.76506,1.06437,0.086938,0.1,0.1
215,6.76506,1.06437,0.086938,0.1,0.1
216,6.76506,1.06437,0.086938,0.1,0.1
217,6.76506,1.06437,0.086938,0.1,0.1
218,6.76506,1.06437,0.086938,0.1,0.1
219,6.76506,1.06437,0.086938,0.1,0.1
220,6.76506,1.06437,0.086938,0.1,0.1
221,6.76506,1.06437,0.086938,0.1,0.1
222,6.76506,1.06437,0.086938,0.1,0.1
223,6.76506,1.06437,0.086938,0.1,0.1
224,6.76506,1.06437,0.086938,0.1,0.1
225,6.76506,1.06437,0.086938,0.1,0.1
226,6.76506,1.06437,0.086938,0.1,0.1
227,6.76506,1.06437,0.086938,0.1,0.1
228,6.76506,1.06437,0.086938,0.1,0.1
229,6.76506,1.06437,0.086938,0.1,0.1
230,0.56437,1.06437,0.086938,0.1,0.1
231,0.56437,1.06437,0.086938,0.1,0.1
232,0.56437,1.06437,0.086938,0.1,0.1
233,0.56437,1.06437,0.086938,0.1,0.1
234,0.56437,1.06437,0.086938,0.1,0.1
235,0.56437,1.06437,0.086938,0.1,0.1
236,0.56437,1.06437,0.086938,0.1,0.1
237,0.56437,1.06437,0.086938,0.1,0.1
238,0.56437,1.06437,0.086938,0.1,0.1
239,0.56437,1.06437,0.086938,0.1,0.1
240,0.56437,1.06437,0.086938,0.1,0.1
241,0.56437,1.06437,0.086938,0.1,0.1
242,0.56437,1.06437,0.086938,0.1,0.1
243,0.56437,1.06437,0.086938,0.1,0.1
244,0.56437,1.06437,0.086938,0.1,0.1
245,0.56437,1.06437,0.086938,0.1,0.1
246,0.56437,1.06437,0.086938,0.1,0.1
247,0.56437,1.06437,0.086938,0.1,0.1
248,0.56437,1.06437,0.086938,0.1,0.1
250,0.56437,1.06437,0.086938,0.1,0.1
251,0.56437,1.06437,0.086938,0.1,0.1
252,0.56437,1.06437,0.086938,0.1,0.1
253,0.56437,1.06437,0.086938,0.1,0.1
254,0.56437,1.06437,0.086938,0.1,0.1
255,0.56437,1.06437,0.086938,0.1,0.1
256,0.56437,1.06437,0.086938,0.1,0.1
257,0.56437,1.06437,0.086938,0.1,0.1
258,0.56437,1.06437,0.086938,0.1,0.1
259,0.56437,1.06437,0.086938,0.1,0.1
260,0.56437,1.06437,0.086938,0.1,0.1
261,0.56437,1.06437,0.086938,0.1,0.1
262,0.56437,1.06437,0.086938,0.1,0.1
263,0.56437,1.06437,0.086938,0.1,0.1
264,5.83732,1.06437,0.086938,0.1,0.1
265,6.78074,1.06437,0.086938,0.1,0.1
266,6.78074,1.06437,0.086938,0.1,0.1
267,6.78074,1.06437,0.086938,0.1,0.1
268,6.78074,1.06437,0.086938,0.1,0.1
269,6.78074,1.06437,0.086938,0.1,0.1
270,6.78074,1.06437,0.086938,0.1,0.1
271,6.78074,1.06437,0.086938,0.1,0.1
272,6.78074,1.06437,0.086938,0.1,0.1
273,6.78074,1.06437,0.086938,0.1,0.1
274,6.78074,1.06437,0.086938,0.1,0.1
275,6.78074,1.06437,0.086938,0.1,0.1
276,6.78074,1.06437,0.086938,0.1,0.1
277,6.78074,1.06437,0.086938,0.1,0.1
278,6.78074,1.06437,0.086938,0.1,0.1
279,6.78074,1.06437,0.086938,0.1,0.1
280,6.73998,1.06437,0.086938,0.1,0.1
281,6.73998,1.06437,0.086938,0.1,0.1
282,6.73998,1.06437,0.086938,0.1,0.1
283,6.73998,1.06437,0.086938,0.1,0.1
284,6.73998,1.06437,0.086938,0.1,0.1
285,6.73998,1.06437,0.086938,0.1,0.1
286,6.73998,1.06437,0.086938,0.1,0.1
287,6.73998,1.06437,0.086938,0.1,0.1
288,6.73998,1.06437,0.086938,0.1,0.1
289,6.73998,1.06437,0.086938,0.1,0.1
290,6.73998,1.06437,0.086938,0.1,0.1
292,6.73998,1.06437,0.086938,0.1,0.1
293,6.73998,1.06437,0.086938,0.1,0.1
294,6.73998,1.06437,0.086938,0.1,0.1
295,6.73998,1.06437,0.086938,0.1,0.1
296,6.73998,1.06437,0.086938,0.1,0.1
297,6.73998,1.06437,0.086938,0.1,0.1
298,6.73998,1.06437,0.086938,0.1,0.1
299,6.73998,1.06437,0.086938,0.1,0.1
300,6.73998,1.06437,0.086938,0.1,0.1
301,0.56437,1.06437,0.086938,0.1,0.1
302,0.56437,1.06437,0.086938,0.1,0.1
303,0.56437,1.06437,0.086938,0.1,0.1
304,0.56437,1.06437,0.086938,0.1,0.1
305,0.56437,1.06437,0.086938,0.1,0.1
306,0.56437,1.06437,0.086938,0.1,0.1
308,0.56437,1.06437,0.086938,0.1,0.1
309,8.28401,1.06437,0.086938,0.1,0.1
310,8.28401,1.06437,0.086938,0.1,0.1
311,8.28401,1.06437,0.086938,0.1,0.1
312,8.28401,1.06437,0.086938,0.1,0.1
313,8.28401,1.06437,0.086938,0.1,0.1
314,8.28401,1.06437,0.086938,0.1,0.1
315,0.56437,1.06437,0.086938,0.1,0.1
316,1.05125,1.06437,0.086938,0.1,0.1
317,1.05125,1.06437,0.086938,0.1,0.1
318,1.05125,1.06437,0.086938,0.1,0.1
319,1.05125,1.06437,0.086938,0.1,0.1
320,1.05125,1.06437,0.086938,0.1,0.1
321,7.06878,1.06437,0.086938,0.1,0.1
322,7.06878,1.06437,0.086938,0.1,0.1
323,7.06878,1.06437,0.086938,0.1,0.1
324,7.06878,1.06437,0.086938,0.1,0.1
325,0.56437,1.06437,0.086938,0.1,0.1
326,0.56437,1.06437,0.086938,0.1,0.1
327,0.56437,1.06437,0.086938,0.1,0.1
328,0.56437,1.06437,0.086938,0.1,0.1
329,0.56437,1.06437,0.086938,0.1,0.1
330,0.56437,1.06437,0.086938,0.1,0.1
331,0.56437,1.06437,0.086938,0.1,0.1
332,0.56437,1.06437,0.086938,0.1,0.1
333,6.92279,1.06437,0.086938,0.1,0.1
334,6.92279,1.06437,0.086938,0.1,0.1
335,1.20491,1.06437,0.086938,0.1,0.1
336,1.20491,1.06437,0.086938,0.1,0.1
337,1.20491,1.06437,0.086938,0.1,0.1
338,1.20491,1.06437,0.086938,0.1,0.1
339,1.20491,1.06437,0.086938,0.1,0.1
340,1.20491,1.06437,0.086938,0.1,0.1
341,1.20491,1.06437,0.086938,0.1,0.1
342,1.20491,1.06437,0.086938,0.1,0.1
343,1.20491,1.06437,0.086938,0.1,0.1
344,1.20491,1.06437,0.086938,0.1,0.1
345,1.20491,1.06437,0.086938,0.1,0.1
346,1.20491,1.06437,0.086938,0.1,0.1
347,7.84527,1.06437,0.086938,0.1,0.1
348,7.84527,1.06437,0.086938,0.1,0.1
349,0.56437,1.06437,0.086938,0.1,0.1
350,0.56437,1.06437,0.086938,0.1,0.1
351,0.56437,1.06437,0.086938,0.1,0.1
353,0.56437,1.06437,0.086938,0.1,0.1
354,0.56437,1.06437,0.086938,0.1,0.1
355,0.56437,1.06437,0.086938,0.1,0.1
356,0.56437,1.06437,0.086938,0.1,0.1
357,0.56437,1.06437,0.086938,0.1,0.1
358,4.14757,1.06437,0.086938,0.1,0.1
359,4.14757,1.06437,0.086938,0.1,0.1
360,4.14757,1.06437,0.086938,0.1,0.1
361,4.14757,1.06437,0.086938,0.1,0.1
362,4.14757,1.06437,0.086938,0.1,0.1
363,0.56437,1.06437,0.086938,0.1,0.1
364,1.27249,1.06437,0.086938,0.1,0.1
365,1.27249,1.06437,0.086938,0.1,0.1
366,1.27249,1.06437,0.086938,0.1,0.1
367,0.951531,1.06437,0.086938,0.1,0.1
368,0.951531,1.06437,0.086938,0.1,0.1
369,0.951531,1.06437,0.086938,0.1,0.1
370,0.951531,1.06437,0.086938,0.1,0.1
371,0.951531,1.06437,0.086938,0.1,0.1
372,0.951531,1.06437,0.086938,0.1,0.1
